"","SPECIES","TAXONNAME","FAMILY","COMMON_FAMILY","CONSUMER_GROUP","LW_A","LW_B","LMAX","LENGTH_CONVERSION_FACTOR"
"509","HECR","Heteropriacanthus cruentatus","Priacanthidae","Bigeye","PLANKTIVORE",0.02793,2.82313,32,1
"510","CHCL","Cheilinus chlorourus","Labridae","Wrasse","SECONDARY",0.01972,2.99315,32,1
"511","MYAD","Myripristis adusta","Holocentridae","Soldierfish","PLANKTIVORE",0.0249,3.0416,32,1
"512","PRHA","Priacanthus hamrur","Priacanthidae","Bigeye","PLANKTIVORE",0.03,2.801,33,1
"513","EPME","Epinephelus merra","Serranidae","Grouper","PISCIVORE",0.01584,2.96636,33,1
"514","THTR","Thalassoma trilobatum","Labridae","Wrasse","SECONDARY",0.0159,2.9718,33,1
"515","PAPL","Parupeneus pleurostigma","Mullidae","Goatfish","SECONDARY",0.0119,3,33,1
"516","EPML","Epinephelus melanostigma","Serranidae","Grouper","PISCIVORE",0.01629999,3,33,1
"517","SATI","Sargocentron tiere","Holocentridae","Soldierfish","SECONDARY",0.0234,3,33,1
"518","ARNI","Arothron nigropunctatus","Tetraodontidae","Pufferfish","SECONDARY",0.0266,3,33,1
"519","PAIN","Parupeneus insularis","Mullidae","Goatfish","SECONDARY",0.0135,3.0671,33,1
"520","MEVI","Melichthys vidua","Balistidae","Triggerfish","PRIMARY",0.0058,3.554,34,1
"521","NEOP","Neoniphon opercularis","Holocentridae","Soldierfish","SECONDARY",0.0094,3,35,1
"522","POPU","Pogonoperca punctata","Serranidae","Grouper","PISCIVORE",0.0152,3.0063,35,1
"523","DEMA","Decapterus macarellus","Carangidae","Jack","PLANKTIVORE",0.0078,3.14,35,1
"524","PTMA","Pterocaesio marri","Caesionidae","Fusilier","PLANKTIVORE",0.0101,3.152,35,1
"525","INPA","Iniistius pavo","Labridae","Wrasse","SECONDARY",0.0107,3.178,35,1
"526","EPSL","Epinephelus spilotoceps","Serranidae","Grouper","PISCIVORE",0.0041,3.346,35,1
"527","ANCU","Anampses cuvier","Labridae","Wrasse","SECONDARY",0.0226,2.793,36,1
"528","CHFA","Cheilinus fasciatus","Labridae","Wrasse","SECONDARY",0.0149,3,36,1
"529","GOBI","Gobiidae","Gobiidae","Goby","SECONDARY",0.02639,2.62257,36.5,1
"530","DIHO","Diodon holocanthus","Diodontidae","Porcupinefish","SECONDARY",0.0678,2.784,38,1
"531","CADU","Cantherhines dumerilii","Monacanthidae","Filefish","SECONDARY",0.0406,2.792,38,1
"532","ACLI","Acanthurus lineatus","Acanthuridae","Surgeonfish","PRIMARY",0.0412,2.85,38,1
"533","SCOV","Scarus oviceps","Scaridae","Parrotfish","PRIMARY",0.018,3,38,1
"534","POIM","Pomacanthus imperator","Pomacanthidae","Angelfish","SECONDARY",0.0276,3,38,1
"535","PTVO","Pterois volitans","Scorpaenidae","Scorpionfish","PISCIVORE",0.0189,3.011,38,1
"536","MUVA","Mulloidichthys vanicolensis","Mullidae","Goatfish","SECONDARY",0.0099,3.015,38,1
"537","SUFR","Sufflamen fraenatum","Balistidae","Triggerfish","SECONDARY",0.02881318,3.03482768,38,1
"538","FILE","Monacanthidae","Monacanthidae","Filefish","PRIMARY",0.017,3.07,38,1
"539","MENI","Melichthys niger","Balistidae","Triggerfish","PLANKTIVORE",0.0058,3.554,38,1
"540","ZEVE","Zebrasoma veliferum","Acanthuridae","Surgeonfish","PRIMARY",0.03425,2.86581,40,1
"541","CHSO","Chlorurus sordidus","Scaridae","Parrotfish","PRIMARY",0.02431,2.96931,40,1
"542","BOLO","Bodianus loxozonus","Labridae","Wrasse","SECONDARY",0.0201,2.9992,40,1
"543","COGA","Coris gaimard","Labridae","Wrasse","SECONDARY",0.0109,3,40,1
"544","ODNI","Odonus niger","Balistidae","Triggerfish","PLANKTIVORE",0.0119,3,40,1
"545","HODO","Hologymnosus doliatus","Labridae","Wrasse","SECONDARY",0.014,3.0097,40,1
"546","CATE","Caesio teres","Caesionidae","Fusilier","PLANKTIVORE",0.0195,3.0117,40,1
"547","MUFL","Mulloidichthys flavolineatus","Mullidae","Goatfish","SECONDARY",0.0089,3.0602,40,1
"548","BOXF","Ostraciidae","Ostraciidae","Boxfish","SECONDARY",0.08532,2.5766,41,1
"549","KYHA","Kyphosus hawaiiensis","Kyphosidae","Chub","PRIMARY",0.0275,2.86,41,1
"550","ANCA","Anampses caeruleopunctatus","Labridae","Wrasse","SECONDARY",0.0105,3,42,1
"551","THPU","Thalassoma purpureum","Labridae","Wrasse","SECONDARY",0.0259,3,43,1
"552","EPFA","Epinephelus fasciatus","Serranidae","Grouper","PISCIVORE",0.01383,3.04066,43,1
"553","OSCU","Ostracion cubicus","Ostraciidae","Boxfish","PRIMARY",0.128819,2.51949,45,1
"554","MALA","Malacanthus latovittatus","Malacanthidae","Tilefish","SECONDARY",0.01,2.8763,45,1
"555","CHEI","Cheilinus sp","Labridae","Wrasse","SECONDARY",0.015532,3.049364,45,1
"556","CHTL","Cheilinus trilobatus","Labridae","Wrasse","SECONDARY",0.01623,3.05947,45,1
"557","CEMI","Cephalopholis miniata","Serranidae","Grouper","PISCIVORE",0.01066,3.1141,45,1
"558","BOMA","Bothus mancus","Bothidae","Flounder","SECONDARY",0.00981,3.189,45,1
"559","OXSP","Oxycheilinus sp","Labridae","Wrasse","SECONDARY",0.037323,2.7537,46,1
"560","OXUN","Oxycheilinus unifasciatus","Labridae","Wrasse","PISCIVORE",0.01689,3,46,1
"561","EPRE","Epinephelus retouti","Serranidae","Grouper","PISCIVORE",0.0122,3.053,47,1
"562","MUPF","Mulloidichthys pfluegeri","Mullidae","Goatfish","SECONDARY",0.0126,3.0494,48,1
"563","ARME","Arothron meleagris","Tetraodontidae","Pufferfish","SECONDARY",0.40816326,2.7027027,50,1
"564","PLOR","Platax orbicularis","Ephippidae","Spadefish","SECONDARY",0.0443,2.951,50,1
"565","SCDM","Scarus dimidiatus","Scaridae","Parrotfish","PRIMARY",0.02337,2.956,50,1
"566","PACY","Parupeneus cyclostomus","Mullidae","Goatfish","PISCIVORE",0.0124,3,50,1
"567","HEFA","Hemigymnus fasciatus","Labridae","Wrasse","SECONDARY",0.0171,3,50,1
"568","GRAL","Gracila albomarginata","Serranidae","Grouper","PISCIVORE",0.0152,3.0063,50,1
"569","CESX","Cephalopholis sexmaculata","Serranidae","Grouper","PISCIVORE",0.0164,3.0303,50,1
"570","CHFN","Chlorurus frontalis","Scaridae","Parrotfish","PRIMARY",0.0224,3.0394,50,1
"571","CESO","Cephalopholis sonnerati","Serranidae","Grouper","PISCIVORE",0.00661,3.27655,50,1
"572","BACO","Balistoides conspicillum","Balistidae","Triggerfish","SECONDARY",0.0058,3.554,50,1
"573","KYCI","Kyphosus cinerascens","Kyphosidae","Chub","PRIMARY",0.0275,2.86,51,1
"574","SCCA","Scorpaenopsis cacopsis","Scorpaenidae","Scorpionfish","PISCIVORE",0.0246,2.908,51,1
"575","PAPO","Parupeneus porphyreus","Mullidae","Goatfish","SECONDARY",0.0153,3,51,1
"576","EPMC","Epinephelus macrospilos","Serranidae","Grouper","PISCIVORE",0.0132,3.03072,51,1
"577","CHIN","Cheilio inermis","Labridae","Wrasse","SECONDARY",0.00349,3.08157,51,1
"578","ARHI","Arothron hispidus","Tetraodontidae","Pufferfish","SECONDARY",0.06338,2.75597,52,1
"579","EPSO","Epinephelus socialis","Serranidae","Grouper","PISCIVORE",0.0122,3.053,52,1
"580","TRBA","Trachinotus baillonii","Carangidae","Jack","PISCIVORE",0.0311,2.7347,54,1
"581","CACA","Calotomus carolinus","Scaridae","Parrotfish","PRIMARY",0.0122,3.167,54,1
"582","EPHO","Epinephelus howlandi","Serranidae","Grouper","PISCIVORE",0.01525,2.99909,55,1
"583","BOBI","Bodianus bilunulatus","Labridae","Wrasse","SECONDARY",0.0146,3,55,1
"584","SCFO","Scarus forsteni","Scaridae","Parrotfish","PRIMARY",0.01859,3.0455,55,1
"585","SCTR","Scarus tricolor","Scaridae","Parrotfish","PRIMARY",0.01859,3.0455,55,1
"586","PSFL","Pseudobalistes flavimarginatus","Balistidae","Triggerfish","SECONDARY",0.1297,2.6061,60,1
"587","HEME","Hemigymnus melapterus","Labridae","Wrasse","SECONDARY",0.02423,2.92262,60,1
"588","MAMA","Macolor macularis","Lutjanidae","Snapper","PLANKTIVORE",0.0145,3,60,1
"589","HILO","Hipposcarus longiceps","Scaridae","Parrotfish","PRIMARY",0.0198,3,60,1
"590","AERO","Aethaloperca rogaa","Serranidae","Grouper","PISCIVORE",0.0134,3.031,60,1
"591","EPMA","Epinephelus maculatus","Serranidae","Grouper","PISCIVORE",0.01104,3.06197,60,1
"592","CEAR","Cephalopholis argus","Serranidae","Grouper","PISCIVORE",0.00929,3.18074,60,1
"593","CESS","Cephalopholis sp","Serranidae","Grouper","PISCIVORE",0.00929,3.18074,60,1
"594","NABR","Naso brevirostris","Acanthuridae","Surgeonfish","PLANKTIVORE",0.01065,3.24297,60,1
"595","NAVL","Naso vlamingii","Acanthuridae","Surgeonfish","PLANKTIVORE",0.0085,3.25,60,1
"596","GYEU","Gymnothorax eurostus","Muraenidae","Moray","SECONDARY",5e-04,3.303,60,1
"597","ANLE","Anyperodon leucogrammicus","Serranidae","Grouper","PISCIVORE",0.0014,3.548,60,1
"598","NACA","Naso caesius","Acanthuridae","Surgeonfish","PLANKTIVORE",0.03259999,2.9029,62,1
"599","CHPE","Chlorurus perspicillatus","Scaridae","Parrotfish","PRIMARY",0.0204,3,62,1
"600","NATO","Naso tonganus","Acanthuridae","Surgeonfish","PRIMARY",0.0085,3.25,63,1
"601","ARMA","Arothron mappa","Tetraodontidae","Pufferfish","SECONDARY",0.0307,2.8499,65,1
"602","NALO","Naso lopezi","Acanthuridae","Surgeonfish","PLANKTIVORE",0.03259999,2.9029,65,1
"603","COFL","Coris flavovittata","Labridae","Wrasse","SECONDARY",0.0352,3,65,1
"604","PLTE","Platax teira","Ephippidae","Spadefish","SECONDARY",0.0425,2.975,70,1
"605","APFU","Aphareus furca","Lutjanidae","Snapper","PISCIVORE",0.0105,3,70,1
"606","SCRU","Scarus rubroviolaceus","Scaridae","Parrotfish","PRIMARY",0.0136,3.109,70,1
"607","PLAL","Plectropomus areolatus","Serranidae","Grouper","PISCIVORE",0.0107,3.086,73,1
"608","KYSA","Kyphosus sandwicensis","Kyphosidae","Chub","PRIMARY",0.0275,2.86,75,1
"609","EPTA","Epinephelus tauvina","Serranidae","Grouper","PISCIVORE",0.0156,2.957,75,1
"610","PLGI","Plectorhinchus gibbosus","Haemulidae","Grunt","SECONDARY",0.02261,2.961959,75,1
"611","MANI","Macolor niger","Lutjanidae","Snapper","PLANKTIVORE",0.0145,3,75,1
"612","MACO","Macolor sp","Lutjanidae","Snapper","PLANKTIVORE",0.0145,3,75,1
"613","BAVI","Balistoides viridescens","Balistidae","Triggerfish","SECONDARY",0.02442,3.01828,75,1
"614","TRIG","Balistidae","Balistidae","Triggerfish","SECONDARY",0.019,3.07824,75,1
"615","EPPO","Epinephelus polyphekadion","Serranidae","Grouper","PISCIVORE",0.00833,3.16576,75,1
"616","GYBR","Gymnothorax breedeni","Muraenidae","Moray","PISCIVORE",5e-04,3.303,75,1
"617","ECNE","Echidna nebulosa","Muraenidae","Moray","SECONDARY",0.00029,3.352,75,1
"618","PUFF","Tetraodontidae","Tetraodontidae","Pufferfish","SECONDARY",0.03974,2.78843,76,1
"619","ALSC","Aluterus scriptus","Monacanthidae","Filefish","SECONDARY",0.0022,3,76,1
"620","MYMA","Myrichthys magnificus","Ophichthidae","Worm or Snake Eel","SECONDARY",0.002,3,78,1
"621","ENPA","Enchelycore pardalis","Muraenidae","Moray","PISCIVORE",0.0246,2.908,80,1
"622","OPFA","Oplegnathus fasciatus","Oplegnathidae","Knifejaw","SECONDARY",0.0266,3,80,1
"623","GYRU","Gymnothorax rueppellii","Muraenidae","Moray","SECONDARY",5e-04,3.303,80,1
"624","AUCH","Aulostomus chinensis","Aulostomidae","Trumpetfish","PISCIVORE",0.00021,3.51443,80,1
"625","PLVI","Plectorhinchus vittatus","Haemulidae","Grunt","SECONDARY",0.0144,3.03,85,1
"626","OPPU","Oplegnathus punctatus","Oplegnathidae","Knifejaw","SECONDARY",0.0203,3,86,1
"627","CEOC","Cetoscarus ocellatus","Scaridae","Parrotfish","PRIMARY",0.0157,3,90,1
"628","DIHY","Diodon hystrix","Diodontidae","Porcupinefish","SECONDARY",0.19343,2.47179,91,1
"629","GYST","Gymnothorax steindachneri","Muraenidae","Moray","PISCIVORE",5e-04,3.303,91,1
"630","PLAB","Plectorhinchus albovittatus","Haemulidae","Grunt","SECONDARY",0.0209,2.9474,100,1
"631","GRBI","Grammatorcynus bilineatus","Scombridae","Mackerel","PISCIVORE",0.0065,3,100,1
"632","EUAF","Euthynnus affinis","Scombridae","Tuna","PISCIVORE",0.03,3.109,100,1
"633","DALA","Dasyatis lata","Dasyatidae","Stingray","SECONDARY",0.00937,3.35249,100,1
"634","BRMU","Brotula multibarbata","Ophidiidae","Cusk Eel","SECONDARY",9e-04,4.47,100,1
"635","CONG","Congridae","Congridae","Conger or Garden Eel","PISCIVORE",0.001695,2.975545,108,1
"636","GARD","Heterocongrinae","Congridae","Conger or Garden Eel","PISCIVORE",0.001695,2.975545,108,1
"637","TRBL","Trachinotus blochii","Carangidae","Jack","SECONDARY",0.088,2.272,110,1
"638","ECNA","Echeneis naucrates","Echeneidae","Remora","PLANKTIVORE",0.00075,3.35779,110,1
"639","ARST","Arothron stellatus","Tetraodontidae","Pufferfish","SECONDARY",0.0915,2.67239,120,1
"640","GYME","Gymnothorax meleagris","Muraenidae","Moray","PISCIVORE",0.0021,3,120,1
"641","COAY","Coris aygula","Labridae","Wrasse","SECONDARY",0.00266,3.48857,120,1
"642","SCTI","Scuticaria tigrina","Muraenidae","Moray","PISCIVORE",0.0047,2.614,122,1
"643","EPQU","Epinephelus quernus","Serranidae","Grouper","PISCIVORE",0.0181,3,122,1
"644","GROU","Serranidae","Serranidae","Grouper","PISCIVORE",0.01342,3.03051,128,1
"645","EPSP","Epinephelus sp","Serranidae","Grouper","PISCIVORE",0.01224,3.052669,128,1
"646","BOMU","Bolbometopon muricatum","Scaridae","Parrotfish","SECONDARY",0.0183,3.0421,130,1
"647","ENCA","Enchelynassa canina","Muraenidae","Moray","PISCIVORE",0.0047,2.614,150,1
"648","ALCI","Alectis ciliaris","Carangidae","Jack","PISCIVORE",0.0412,2.85,150,1
"649","GYUN","Gymnothorax undulatus","Muraenidae","Moray","PISCIVORE",0.0016,3,150,1
"650","GYZE","Gymnomuraena zebra","Muraenidae","Moray","SECONDARY",5e-04,3.303,150,1
"651","FICO","Fistularia commersonii","Fistulariidae","Cornetfish","PISCIVORE",5e-04,3.048,160,1
"652","TAME","Taeniura meyeni","Dasyatidae","Stingray","SECONDARY",0.0087,3,180,1
"653","HIFA","Himantura fai","Dasyatidae","Stingray","SECONDARY",0.003,3,183,1
"654","DASY","Dasyatidae","Dasyatidae","Stingray","SECONDARY",0.00937,3.35249,187,1
"655","SEDU","Seriola dumerili","Carangidae","Jack","PISCIVORE",0.0221,2.94,190,1
"656","CAML","Carcharhinus melanopterus","Carcharhinidae","Requiem","PISCIVORE",0.00136,3.34,200,1
"657","CHUD","Cheilinus undulatus","Labridae","Wrasse","SECONDARY",0.01131,3.1362,229,1
"658","GYFL","Gymnothorax flavimarginatus","Muraenidae","Moray","PISCIVORE",4e-04,3.35,240,1
"659","MORA","Muraenidae","Muraenidae","Moray","PISCIVORE",0.00465,2.61351,256,1
"660","EPLA","Epinephelus lanceolatus","Serranidae","Grouper","PISCIVORE",0.0122,3.053,270,1
"661","GYJA","Gymnothorax javanicus","Muraenidae","Moray","PISCIVORE",5e-04,3.303,300,1
"662","GYSP","Gymnothorax sp","Muraenidae","Moray","PISCIVORE",0.00052,3.30314,300,1
"663","AENA","Aetobatus narinari","Myliobatidae","Eagle Rays","SECONDARY",0.0059,3.13,350,1
"664","MABI","Manta birostris","Myliobatidae","Manta Ray","PLANKTIVORE",0.0164,3,800,1
